scheme_id,scheme_name,min_age,max_age,gender,state,occupation,income_limit,category,education_level,disability_status,marital_status
1,"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",60.0,,Female,All India,Any,,"SC,ST",Any,Any,Any
2,AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,,,Any,All India,Any,,ST,Any,Any,Any
3,Burial and Ex-gratia Payment Scheme in Case of Death of Unregistered Laborer During Work at Construction Site,,,Any,Madhya Pradesh,Worker,,"SC,ST",Any,Any,Any
4,Consortia & Tender Marketing Scheme,,,Male,All India,Any,,"SC,ST",Any,Any,Any
5,Garuda Scheme for Funeral Expense,,,Male,Andhra Pradesh,Any,,SC,Any,Any,Any
6,Incentive For The Intra Caste Marriage within Scheduled Tribe Community,,,Any,Karnataka,Any,,"SC,ST",Any,Any,Any
7,Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,,,Male,All India,Any,,"SC,ST",Any,Any,Any
8,Indira Mahila Shakti Udyam Protsahan Yojana,18.0,,Female,Rajasthan,Any,,ST,Any,Any,Any
9,Mukhyamantri Shramik Aujaar Sahayata Yojana,18.0,,Any,All India,Worker,,ST,Any,Any,Any
10,Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,,,Male,All India,Worker,,"SC,ST",Any,Any,Any
11,Pre-Matric Scholarship for Backward Class Students,,,Any,All India,Student,,ST,10th,Any,Any
12,Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,,,Male,All India,"Student,Worker",,ST,Student,Any,Any
13,The West Bengal Incentive Scheme: Additional Incentive for Adventure Tour Operators,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
14,The West Bengal Incentive Scheme: Additional Incentive on Generation of Employment,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
15,The West Bengal Incentive Scheme: Capacity Utilisation,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
16,The West Bengal Incentive Scheme: Interest Subsidy on Term Loan,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
17,The West Bengal Incentive Scheme: Reimbursement of Stamp Duty and Registration Fee,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
18,The West Bengal Incentive Scheme: State Capital Investment Subsidy,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
19,The West Bengal Incentive Scheme: Subsidy for Quality Improvement,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
20,The West Bengal Incentive Scheme: Tourism Promotion Assistance in lieu of Interest Subsidy,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
21,The West Bengal Incentive Scheme: Waiver of Electricity Duty,,,Male,West Bengal,Any,,"SC,ST",Any,Any,Any
22,West Bengal Textile Incentive Scheme: Incentive for Energy Efficiency,,,Male,West Bengal,Any,,ST,Any,Any,Any
23,West Bengal Textile Incentive Scheme: Power Subsidy,,,Male,All India,Any,,ST,Any,Any,Any
24,West Bengal Textile Incentive Scheme: State Capital Investment Subsidy,,,Male,All India,Any,,ST,Any,Any,Any
25,West Bengal Textile Incentive Scheme: Subsidy for Water conservation/ Environment Compliance,,,Male,All India,Any,,ST,Any,Any,Any
26,West Bengal Textile Incentive Scheme: Waiver of Electricity Duty,,,Male,All India,Any,,ST,Any,Any,Any
27,West Bengal Textile Incentive Scheme: Waiver of Fees for Land Conversion and Mutation,,,Male,West Bengal,Any,,ST,Any,Any,Any
28,Workers In Case Of His Partial Permanent Disablement-JKBOCWWB,18.0,60.0,Male,All India,Worker,,"SC,ST",Any,Any,Any
29,"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",18.0,35.0,Any,All India,Any,,"SC,ST",Any,Any,Any
30,"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",18.0,35.0,Any,All India,Any,,ST,Any,Any,Any
31,"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",18.0,35.0,Any,All India,Any,,ST,Any,Any,Any
32,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",23.0,60.0,Male,All India,Entrepreneur,,ST,Any,Any,Any
33,"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
34,"""Assistance for Intellectual Property Protection Support"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
35,"""Assistance for Technology Acquisition"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",5.0,,Male,All India,Entrepreneur,,ST,Any,Any,Any
36,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme",,,Any,All India,Farmer,,Any,Any,Any,Any
37,"""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",5.0,,Female,All India,Entrepreneur,,"SC,ST",Any,Any,Any
38,"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",,,Male,All India,Any,,ST,Any,Any,Any
39,"""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",,,Any,All India,Any,,ST,Any,Any,Any
40,"""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",,,Male,All India,Entrepreneur,,"SC,ST",Any,Any,Any
41,"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme",,,Female,All India,Entrepreneur,,"SC,ST",Any,Any,Any
42,"""Conducting of Exhibitions"" Component of the ""Development of Coir"" Scheme",,,Any,All India,Any,,ST,Any,Any,Any
43,"""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",23.0,60.0,Male,All India,Entrepreneur,,ST,Any,Any,Any
44,"""Design Development Training For Master Crafts Persons"" Component of the ""Development of Handicrafts"" Scheme",,,Any,All India,Artisan,,ST,Any,Any,Any
45,"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",5.0,,Male,All India,Worker,,ST,Any,Any,Any
46,"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",5.0,,Male,All India,Any,,ST,Any,Any,Any
47,"""Entrepreneureship Development Programme (EDP)"" Component of the ""Development of Industries"" Scheme",,,Any,All India,Any,,ST,Any,Any,Any
